FEN:ID,:LABEL,Comment,Source Code,Signature,Modifiers
org.apache.commons.collections4.bidimap.TreeBidiMap$DataElement.KEY,Enum Constant,No Comment,"KEY(""key"")",org.apache.commons.collections4.bidimap.TreeBidiMap$DataElement KEY,default
org.apache.commons.collections4.bidimap.TreeBidiMap$DataElement.VALUE,Enum Constant,No Comment,"VALUE(""value"")",org.apache.commons.collections4.bidimap.TreeBidiMap$DataElement VALUE,default
org.apache.commons.collections4.functors.ComparatorPredicate$Criterion.EQUAL,Enum Constant,* Equal criterion.,EQUAL,org.apache.commons.collections4.functors.ComparatorPredicate$Criterion EQUAL,public 
org.apache.commons.collections4.functors.ComparatorPredicate$Criterion.GREATER,Enum Constant,* Greater criterion.,GREATER,org.apache.commons.collections4.functors.ComparatorPredicate$Criterion GREATER,public 
org.apache.commons.collections4.functors.ComparatorPredicate$Criterion.LESS,Enum Constant,* Less criterion.,LESS,org.apache.commons.collections4.functors.ComparatorPredicate$Criterion LESS,public 
org.apache.commons.collections4.functors.ComparatorPredicate$Criterion.GREATER_OR_EQUAL,Enum Constant,* Greater or equal criterion.,GREATER_OR_EQUAL,org.apache.commons.collections4.functors.ComparatorPredicate$Criterion GREATER_OR_EQUAL,public 
org.apache.commons.collections4.functors.ComparatorPredicate$Criterion.LESS_OR_EQUAL,Enum Constant,* Less or equal Criterion.,LESS_OR_EQUAL,org.apache.commons.collections4.functors.ComparatorPredicate$Criterion LESS_OR_EQUAL,public 
org.apache.commons.collections4.comparators.FixedOrderComparator$UnknownObjectBehavior.BEFORE,Enum Constant,* Before unknown object behaviors.,BEFORE,org.apache.commons.collections4.comparators.FixedOrderComparator$UnknownObjectBehavior BEFORE,public 
org.apache.commons.collections4.comparators.FixedOrderComparator$UnknownObjectBehavior.AFTER,Enum Constant,* After unknown object behaviors.,AFTER,org.apache.commons.collections4.comparators.FixedOrderComparator$UnknownObjectBehavior AFTER,public 
org.apache.commons.collections4.comparators.FixedOrderComparator$UnknownObjectBehavior.EXCEPTION,Enum Constant,* Exception unknown object behaviors.,EXCEPTION,org.apache.commons.collections4.comparators.FixedOrderComparator$UnknownObjectBehavior EXCEPTION,public 
org.apache.commons.collections4.map.ConcurrentReferenceHashMap$Option.IDENTITY_COMPARISONS,Enum Constant,* Indicates that referential-equality (== instead of .equals()) should be used when locating keys. This offers similar behavior to\n         * {@link IdentityHashMap},IDENTITY_COMPARISONS,org.apache.commons.collections4.map.ConcurrentReferenceHashMap$Option IDENTITY_COMPARISONS,public 
org.apache.commons.collections4.map.ConcurrentReferenceHashMap$ReferenceType.STRONG,Enum Constant,* Indicates a normal Java strong reference should be used,STRONG,org.apache.commons.collections4.map.ConcurrentReferenceHashMap$ReferenceType STRONG,public 
org.apache.commons.collections4.map.ConcurrentReferenceHashMap$ReferenceType.WEAK,Enum Constant,* Indicates a {@link WeakReference} should be used,WEAK,org.apache.commons.collections4.map.ConcurrentReferenceHashMap$ReferenceType WEAK,public 
org.apache.commons.collections4.map.ConcurrentReferenceHashMap$ReferenceType.SOFT,Enum Constant,* Indicates a {@link SoftReference} should be used,SOFT,org.apache.commons.collections4.map.ConcurrentReferenceHashMap$ReferenceType SOFT,public 
org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceStrength.HARD,Enum Constant,* Hard reference type.,HARD(0),org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceStrength HARD,public 
org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceStrength.SOFT,Enum Constant,* Soft reference type.,SOFT(1),org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceStrength SOFT,public 
org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceStrength.WEAK,Enum Constant,* Weak reference type.,WEAK(2),org.apache.commons.collections4.map.AbstractReferenceMap$ReferenceStrength WEAK,public 
org.apache.commons.collections4.properties.AbstractPropertiesFactory$PropertyFormat.PROPERTIES,Enum Constant,Properties file format.,PROPERTIES,org.apache.commons.collections4.properties.AbstractPropertiesFactory$PropertyFormat PROPERTIES,public 
org.apache.commons.collections4.properties.AbstractPropertiesFactory$PropertyFormat.XML,Enum Constant,XML file format.,XML,org.apache.commons.collections4.properties.AbstractPropertiesFactory$PropertyFormat XML,public 
